ID,Tipo de inmueble,Precio (admin_included),Estrato,Baños,Habitaciones,Parqueaderos,Area,Area Privada,Piso,Facilities,Descripción,Antiguedad,Estado
10830219.0,Apartaestudio,1800000.0,4.0,1.0,,,22.0,22.0,2.0,"Amoblado, Cocina Integral, Colegios / Universidades, Parques cercanos, Portería / Recepción, Supermercados / C.Comerciales, Trans. Público cercano, Vigilancia, Vista panorámica, Zona Comercial","Aparta Estudio en excelente ubicación, con todos los servicios incluidos, wifi gratis, 300 canales de TV, cocina completamente dotada, lenceria, baño privado y limpieza 2 veces por semana.  A 50 metros de la Avenida El Dorado y parada de Transmilenio Concejo de Bogotá y cerca a universidades, 15 minutos del aeropuerto, Corferias y a 5 minutos del Concejo de Bogotá y al Parkway.  Su nuevo hogar lo espera, solo necesita traer el cepillo de dientes!",9 a 15 años,
191712314.0,Apartaestudio,3500000.0,4.0,1.0,1.0,,31.0,31.0,0.0,"Alcantarillado, Amoblado, Ascensor, Bahias de parqueo, Baños comunales, Caldera, Cerca a sector comercial, Cerca centro comercial, Cerca de Zona Urbana, Closet, Cocina Equipada, Comedor, Despensa, Disponibilidad WiFi, En club, En zona residencial, Escalera de Emergencia, Gimnasio, Hall de Alcobas, Loft, Parqueadero Visitantes, Piso en Baldosa /  Mármol, Portería / Vigilancia, Restaurantes, Salón Comunal, Salón de Juegos, Salón de videoconferencias, Senderos ecológicos, Servicio de Internet, Servicio de Lavandería, Servicios independientes, Sobre vía secundaria, Supermercados / C.Comerciales, Trans. Público cercano, Ventilación Natural, Vigilancia 24x7, Zona Campestre, Zona de BBQ, Zona Infantil, Zona Residencial, Zonas Verdes, Área Urbana","Este elegante apartaestudio ofrece una combinación perfecta de estilo y funcionalidad, ideal para profesionales y estudiantes que buscan comodidad y conveniencia en la vibrante zona de Corferias, esta propiedad es perfecta para quienes buscan un espacio moderno y funcional en una ubicacion estrategica de Bogota.Características destacadas- Diseño moderno y funcional Espacios cuidadosamente diseñados con acabados modernos que crean un ambiente acogedor y sofisticado.- Totalmente amoblado Equipado con muebles de calidad, incluyendo cama, sofá cama, mesa de comedor y escritorio, listos para que te instales sin preocupaciones- Cocina integrada Cocina integral con electrodomésticos modernos estufa de induccion estractor  nevera , tienes todos los  utensilios de cocina y vajilla, perfecta para preparar tus comidas favoritas- Ambiente acogedor Ideal para descansar y disfrutar de la vida urbana.Zonas Comunes 1162-252",menor a 1 año,
10183666.0,Apartamento,1050000.0,4.0,1.0,1.0,,45.0,45.0,2.0,"Barra estilo americano, Cocina Integral, Cocina tipo Americano, Instalación de gas, Parques cercanos, Piso en Baldosa /  Mármol, Supermercados / C.Comerciales, Trans. Público cercano, Zona de lavandería, Zona Residencial","Apartamentos de 1 alcoba, sala comedor, cocina integral con barra americana y acabados modernos. Zona central en Galerias.  Situados en edificios multifamiliares, con servicios independientes y sin cuota de administración extra. Cerca a transporte público, supermercados y zonas de entretenimiento.",1 a 8 años,
10949219.0,Apartamento,3500000.0,4.0,2.0,2.0,1.0,68.2,68.2,14.0,"Ascensor, Balcón, Barra estilo americano, Baño Auxiliar, Caldera, Calentador, Cocina tipo Americano, Colegios / Universidades, Depósito / Bodega, En conjunto cerrado, Estudio, Garaje(s), Gimnasio, Instalación de gas, Jardín, Loft, Oficina de negocios, Parqueadero Visitantes, Parques cercanos, Portería / Recepción, Salón de Juegos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial","Excelente apartamento en el proyecto Avanzza Parque Central, piso 14  dos habitaciones 1 parqueadero y depósito apartamento nuevo arriendo y opción de compra",menor a 1 año,
192059073.0,Apartamento,1281000.0,4.0,1.0,1.0,1.0,17.0,17.0,0.0,"Acceso Pavimentado, Alcantarillado, Cochera, Colegios / Universidades, Parques cercanos, Sensor de movimiento, Servicios Públicos, Supermercados / C.Comerciales, Trans. Público cercano, Zonas Verdes","[ARR] ID HOUM: 148368  Entérate de todos los beneficios al arrendar con nosotros:     • Asistencia e intermediación con el propietario     • Firma tu contrato online     • Arrienda sin burocracia, sin papeleos ni notarías  Departamento en arriendo, ubicado en el barrio El Recuerdo, con una superficie construida de 17.00 m² y superficie total de 17.00  m².   Sus principales características son:      • No amoblado     • 1 dormitorio     • 1 baño     • Admite mascotas     • Año de construcción: 2025              Además, el inmueble cuenta con las siguientes amenidades:      • Vigilancia 24 hrs     • Lavandería  Si arriendas con nosotros, te brindamos asesoría personalizada durante todo el proceso.  Requisitos para arrendar con nosotros:      • Arrienda sin codeudor*, fácil, rápido y seguro     • Demuestra un ingreso mensual neto de al menos 2.5 veces el valor del arriendo (los ingresos mensuales se pueden complementar por las personas que vivirán en este inmueble)     • Completa tu información básica y mándanos tus extractos bancarios o documentos que demuestren tus ingresos     • No debes tener reportes negativos en centrales de crédito           IMPORTANTE:      • Te invitamos a agendar una visita a esta propiedad     • Si tienes alguna duda por favor puedes solicitar más información desde los portales como también contactarte directamente con nosotros      Más que una inmobiliaria, somos Houm. *Aplican T&C",menor a 1 año,Excelente estado
191752583.0,Apartaestudio,1450000.0,3.0,1.0,1.0,,26.0,26.0,0.0,"Balcón, Terraza","HERMOSO Y COMODO APARTAESTUDIO , ILUMINACION NATURAL, ACABADOS MODERNOS , IDEAL PARA PAREJAS Y ESTUDIANTES. FACIL ACCESO A VIAS PRINCIPALES, ZONA UNIVERSITARIA , ZONA COMERCIAL Y TRANSMILENIO",1 a 8 años,
191237365.0,Casa,6000000.0,5.0,5.0,5.0,5.0,380.0,380.0,1.0,"Bahias de parqueo, Bahía exterior de parqueo","Oportunidad Única! Casa Espectacular en Renta o Venta en Bogotá, Descubre esta impresionante propiedad de 380 m² construidos, ubicada en el codiciado sector de Nicolás de Federmán, en el corazón de Teusaquillo. Este enclave estratégico te sitúa cerca de los principales puntos de interés de la ciudad, con fácil acceso a: Av. Ciudad de Quito (Transmilenio) Av. 26 Calle 63 Calle 53 Carrera 50 Además, disfrutarás de la proximidad a: Parques Metropolitanos Complejo Deportivo y Recreativo El Salitre IDRD Universidades de prestigio Centros Comerciales Clínicas de primer nivel Movistar Arena Terminal de Transporte Aeropuerto Internacional El Dorado Esta propiedad es ideal para inversionistas, empresas constructoras o aquellos que buscan vivir en un sector residencial que combina la tradición con la modernidad. Ofrece un entorno  tranquilo, seguro y altamente valorizado.",16 a 30 años,Buen estado
191287641.0,Apartaestudio,2300000.0,4.0,1.0,1.0,,19.0,,4.0,"Amoblado, Ascensor, Colegios / Universidades, En conjunto cerrado, Gimnasio, Portería / Recepción, Sala de internet, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Vigilancia, Zona Comercial, Zona Residencial","Hermoso apartaestudio Nuevo y Amoblado cerca de la Embajada Americana, a media cuadra de Corferias, Ágora y cerca a lugares turisticos.  Ubicado en un edificio nuevo, cuenta con cama semidoble, sofacama, tv, baño, armario, cocina y escritorio.  Barrio tranquilo, con buen comercio y restaurantes para encontrar todo lo que necesites. Aparataestudio ubicado en un cuarto piso con ascensor. Cuenta con todo lo necesario para vivir tranquilamente y confortable.  Tiene una cama que se convierte en escritorio para aprovechar el espacio, dotada con sabanas, plumon y duvet.  Cuenta con dos escritorios, cocina dotada con microondas, ollas, cafetera, sanduchera, licuadora entre otros.  Hay GYM, Co-Working, Sala de Juntas, parqueadero compartido con pago y zona para bicicletas gratis.",menor a 1 año,
191382794.0,Casa,15000000.0,4.0,6.0,19.0,4.0,608.0,608.0,3.0,"Acceso Pavimentado, Baño Auxiliar, Cerca de Zona Urbana, Colegios / Universidades, Depósito / Bodega, Garaje(s), Instalación de gas, Oficina de negocios, Parques cercanos, Patio, Sobre vía principal, Trans. Público cercano, Zona Comercial","Este inmueble cuenta con los espacios y la ubicación necesarios para desarrollar una actividad comercial, tal como, servicios de hospedaje ""hostal"", oficinas, ips, empresa de servicios, sus 608 Mts2, se distribuyen en 24 habitaciones, 6 baños, cocineta, areas de bodegaje, parqueadero para 2 vehiculos internos y 2 vehiculos en la parte exterior. Su ubicación privilegiada brinda salidas a toda la ciudad, la calle 26, a tan solo 25 min del aeropuerto el dorado y tan solo 5 minutos del centro internacional.",más de 30 años,
191214224.0,Habitación,550000.0,4.0,,,,70.0,,0.0,,"Se arrienda habitación pequeña con closet y espacio para cama sencilla para chica  y baño provado, el costo del arrendamiento incluye servicios y uso de las zonas comunes, como lavado, cocina y sala de estar con TV inteligente. sin restricciones de llegada o visitas siguiendo reglas básicas de convivencia, no hay restricciones de mascotas (gatitos) ya que en la casa hay dos y se llevan muy bien con las visitas, el apartamento queda cerca al centro comercial galerías y tiendas como supermercados y paradas de sitp. Costo $550.000 por favor escríbeme! El apartamento es amplio y se brinda un espacio cómodo para descansar, estudiar o simplemente sentirte en casa",,
