location,price,habs,baños,area,tipo_inmueble,link
"El recuerdo, Bogotá","$ 7,800,000",4.0,4.0,450.0,Casa en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/el-recuerdo/zona-occidental/bogota/</casa-en-arriendo/192023231>"
"El recuerdo, Bogotá","$ 750,000",3.0,2.0,15.0,Habitación en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/el-recuerdo/zona-occidental/bogota/</habitacion-en-arriendo/191958856>"
"El recuerdo, Bogotá","$ 1,500,000",1.0,1.0,17.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/el-recuerdo/zona-occidental/bogota/</apartamento-en-arriendo/191950945>"
"El recuerdo, Bogotá","$ 4,300,000",3.0,3.0,90.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/el-recuerdo/zona-occidental/bogota/</apartamento-en-arriendo/191652974>"
"El recuerdo, Bogotá","$ 2,878,000",3.0,3.0,100.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/el-recuerdo/zona-occidental/bogota/</apartamento-en-arriendo/192033222>"
"El recuerdo, Bogotá","$ 1,300,000",1.0,1.0,35.0,Apartaestudio en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/el-recuerdo/zona-occidental/bogota/</apartaestudio-en-arriendo/192058201>"
"El recuerdo, Bogotá","$ 4,300,000",3.0,3.0,90.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/el-recuerdo/zona-occidental/bogota/</apartamento-en-arriendo/191695593>"
"El recuerdo, Bogotá","$ 60,000,000",14.0,10.0,2000.0,Casa en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/el-recuerdo/zona-occidental/bogota/</casa-en-arriendo/191688625>"
"El recuerdo, Bogotá","$ 1,760,000",1.0,1.0,32.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/el-recuerdo/zona-occidental/bogota/</apartamento-en-arriendo/191827093>"
"El recuerdo, Bogotá","$ 1,400,000",1.0,1.0,32.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/el-recuerdo/zona-occidental/bogota/</apartamento-en-arriendo/191620845>"
"El recuerdo, Bogotá","$ 1,900,000",1.0,1.0,30.0,Apartamento en arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/el-recuerdo/zona-occidental/bogota/</apartamento-en-arriendo/11061448>"
