Tipo de inmueble,Precio (admin_included),Estrato,Baños,Habitaciones,Parqueaderos,Area,Area Privada,Piso,Antiguedad,Precio_por_m2,Bedroom_Bath_Ratio,Size_Category_Small,Size_Category_Medium,Size_Category_Large,Size_Category_Huge,Cluster,Market_Segment
Apartamento,1800000.0,4.0,1.0,1.0,0.0,22.0,22.0,2.0,9 a 15 años,81818.18181818182,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,3500000.0,4.0,1.0,1.0,0.0,31.0,31.0,0.0,menor a 1 año,112903.2258064516,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,1050000.0,4.0,1.0,1.0,0.0,45.0,45.0,2.0,1 a 8 años,23333.333333333332,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,3500000.0,4.0,2.0,2.0,1.0,68.2,68.2,14.0,menor a 1 año,51319.64809384164,1.0,False,True,False,False,1,Budget Compact Properties
Apartamento,1281000.0,4.0,1.0,1.0,1.0,17.0,17.0,0.0,menor a 1 año,75352.94117647059,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1450000.0,3.0,1.0,1.0,0.0,26.0,26.0,0.0,1 a 8 años,55769.230769230766,1.0,False,False,False,False,1,Budget Compact Properties
Casa,6000000.0,5.0,5.0,5.0,5.0,380.0,380.0,1.0,16 a 30 años,15789.473684210527,1.0,False,False,True,False,0,Premium Spacious Properties
Apartamento,2300000.0,4.0,1.0,1.0,0.0,19.0,22.0,4.0,menor a 1 año,121052.63157894737,1.0,False,False,False,False,1,Budget Compact Properties
Casa,15000000.0,4.0,6.0,19.0,4.0,608.0,608.0,3.0,más de 30 años,24671.052631578947,3.1666666666666665,False,False,False,True,0,Premium Spacious Properties
Apartamento,550000.0,4.0,0.0,1.0,0.0,70.0,22.0,0.0,más de 30 años,7857.142857142857,2.0,False,True,False,False,1,Budget Compact Properties
Apartamento,3600000.0,4.0,2.0,2.0,1.0,65.0,65.0,0.0,menor a 1 año,55384.61538461538,1.0,False,True,False,False,1,Budget Compact Properties
Apartamento,2850000.0,4.0,2.0,2.0,1.0,109.0,22.0,0.0,más de 30 años,26146.788990825688,1.0,False,True,False,False,1,Budget Compact Properties
Apartamento,5125264.0,4.0,3.0,3.0,2.0,170.0,170.0,0.0,16 a 30 años,30148.61176470588,1.0,False,False,True,False,1,Budget Compact Properties
Casa,680000.0,4.0,1.0,1.0,0.0,15.0,15.0,2.0,más de 30 años,45333.333333333336,1.0,False,False,False,False,1,Budget Compact Properties
Casa,6500000.0,4.0,6.0,5.0,4.0,390.0,22.0,0.0,más de 30 años,16666.666666666668,0.8333333333333334,False,False,True,False,0,Premium Spacious Properties
Apartamento,2000000.0,4.0,2.0,2.0,1.0,75.0,75.0,0.0,más de 30 años,26666.666666666668,1.0,False,True,False,False,1,Budget Compact Properties
Apartamento,1500000.0,5.0,1.0,1.0,1.0,60.0,60.0,1.0,más de 30 años,25000.0,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,1500000.0,4.0,0.0,1.0,0.0,35.0,22.0,0.0,más de 30 años,42857.142857142855,2.0,True,False,False,False,1,Budget Compact Properties
Apartamento,2400000.0,4.0,1.0,1.0,1.0,46.0,46.0,2.0,9 a 15 años,52173.913043478264,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,800000.0,4.0,1.0,1.0,0.0,80.0,20.0,0.0,9 a 15 años,10000.0,1.0,False,True,False,False,1,Budget Compact Properties
Apartamento,2900000.0,5.0,2.0,1.0,0.0,45.0,22.0,0.0,más de 30 años,64444.444444444445,0.5,True,False,False,False,1,Budget Compact Properties
